fusion_node_name,gpu_limit,cpu_limit,avg_latency
as1,33,2600,139.64655172413794
as1,33,2800,139.1875
as1,33,3000,140.8706896551724
as1,50,400,295.0193965517241
as1,50,600,212.16594827586206
as1,50,800,162.19612068965517
as1,50,1000,136.5301724137931
as1,50,1200,116.9396551724138
as1,50,1400,107.87068965517241
as1,50,1600,110.92887931034483
as1,50,1800,108.04741379310344
as1,50,2000,112.40301724137932
as1,50,2200,109.26724137931035
as1,50,2400,106.67887931034483
as1,50,2600,110.24353448275862
as1,50,2800,109.38146551724138
as1,50,3000,109.43103448275862
as1,100,400,278.8469827586207
as1,100,600,196.83836206896552
as1,100,800,151.19396551724137
as1,100,1000,124.44396551724138
as1,100,1200,105.42672413793103
as1,100,1400,95.36637931034483
as1,100,1600,86.89439655172414
as1,100,1800,77.42456896551724
as1,100,2000,72.16379310344827
as1,100,2200,70.21120689655173
as1,100,2400,67.77155172413794
as1,100,2600,66.23491379310344
as1,100,2800,66.80603448275862
as1,100,3000,67.20689655172414
