fusion_node_name,gpu_limit,cpu_limit,avg_latency
as1,33,400,312.7090517241379
as1,33,500,245.64870689655172
as1,33,500,301.07974137931035
as1,33,600,222.00646551724137
as1,33,700,198.70043103448276
as1,33,800,171.92456896551724
as1,33,900,158.01724137931035
as1,33,1000,146.38577586206895
as1,33,1100,131.2456896551724
as1,33,1200,133.36422413793105
as1,33,1300,129.55172413793105
as1,33,1400,135.85129310344828
as1,33,1500,104.39008620689656
as1,33,1500,133.50862068965517
as1,33,1600,132.79956896551724
as1,33,1700,135.57543103448276
as1,33,1800,139.0581896551724
as1,33,1900,141.04310344827587
as1,33,2000,136.39439655172413
as1,33,2100,139.64439655172413
as1,33,2200,128.41379310344828
as1,33,2300,139.42887931034483
as1,33,2400,138.0301724137931
as1,33,2500,138.0043103448276
as1,33,2600,137.08836206896552
as1,33,2700,103.15301724137932
as1,33,2700,137.29741379310346
as1,33,2800,137.13793103448276
as1,33,2900,127.74137931034483
as1,33,3000,126.33620689655173
as1,50,400,304.9655172413793
as1,50,500,248.73275862068965
as1,50,600,215.34913793103448
as1,50,700,183.29956896551724
as1,50,800,163.71336206896552
as1,50,900,142.4719827586207
as1,50,1000,131.69396551724137
as1,50,1100,121.19612068965517
as1,50,1200,113.13146551724138
as1,50,1300,106.65301724137932
as1,50,1400,102.93103448275862
as1,50,1500,102.60775862068965
as1,50,1600,104.21551724137932
as1,50,1700,104.21336206896552
as1,50,1800,103.67456896551724
as1,50,1900,107.53448275862068
as1,50,2000,106.05172413793103
as1,50,2100,105.28879310344827
as1,50,2200,106.1896551724138
as1,50,2300,105.29741379310344
as1,50,2400,104.65732758620689
as1,50,2500,103.79310344827586
as1,50,2600,105.55172413793103
as1,50,2700,104.31681034482759
as1,50,2800,102.24568965517241
as1,50,2900,106.47198275862068
as1,50,3000,106.36422413793103
as1,100,400,285.0560344827586
as1,100,500,230.56034482758622
as1,100,600,189.75215517241378
as1,100,700,171.06465517241378
as1,100,800,149.45905172413794
as1,100,900,133.1206896551724
as1,100,1000,120.99353448275862
as1,100,1100,111.63146551724138
as1,100,1200,103.20258620689656
as1,100,1300,98.54310344827586
as1,100,1400,94.76508620689656
as1,100,1500,89.33620689655173
as1,100,1600,84.07974137931035
as1,100,1700,78.83405172413794
as1,100,1800,73.98060344827586
as1,100,1900,71.62068965517241
as1,100,2000,70.51077586206897
as1,100,2100,67.92672413793103
as1,100,2200,68.07112068965517
as1,100,2300,66.56896551724138
as1,100,2400,64.95043103448276
as1,100,2500,64.21767241379311
as1,100,2600,63.39870689655172
as1,100,2700,64.09051724137932
as1,100,2800,63.849137931034484
as1,100,2900,62.79094827586207
as1,100,3000,63
controller,33,1000,284.24568965517244
controller,33,1200,236.42241379310346
controller,33,1400,206.3793103448276
controller,33,1600,183.7823275862069
controller,33,1800,146.88577586206895
controller,33,1800,163.78663793103448
controller,33,2000,154.24784482758622
controller,33,2200,132.25
controller,33,2400,122.85560344827586
controller,33,2600,119.07974137931035
controller,33,2800,117.3146551724138
controller,33,3000,119.60560344827586
controller,33,3200,118.91379310344827
controller,33,3400,121.03663793103448
controller,33,3600,120.89008620689656
controller,33,3800,119.87931034482759
controller,33,4000,119.35344827586206
controller,33,4200,121.10991379310344
controller,33,4400,107.51939655172414
controller,33,4600,120.05172413793103
controller,33,4800,120.15948275862068
controller,33,5000,121.57327586206897
controller,33,5200,118.03663793103448
controller,33,5400,121.48706896551724
controller,33,5600,121.48275862068965
controller,33,5800,121.96767241379311
controller,33,6000,121.33405172413794
controller,50,1000,248.54525862068965
controller,50,1200,220.50862068965517
controller,50,1400,192.41163793103448
controller,50,1600,168.3405172413793
controller,50,1800,148.98275862068965
controller,50,2000,136.48706896551724
controller,50,2200,123.62068965517241
controller,50,2400,114.95905172413794
controller,50,2600,107.02370689655173
controller,50,2800,102.17672413793103
controller,50,3000,95.31681034482759
controller,50,3200,89.47844827586206
controller,50,3400,91.67456896551724
controller,50,3600,91.48275862068965
controller,50,3800,91.41594827586206
controller,50,4000,92.125
controller,50,4200,94.21982758620689
controller,50,4400,91.54525862068965
controller,50,4600,91.41379310344827
controller,50,4800,91.39870689655173
controller,50,5000,92.32327586206897
controller,50,5200,88.73060344827586
controller,50,5400,89.32327586206897
controller,50,5600,91.47413793103448
controller,50,5800,91.1896551724138
controller,50,6000,91.6228448275862
controller,100,1000,216.70905172413794
controller,100,1200,188.9375
controller,100,1400,169.87284482758622
controller,100,1600,144.7198275862069
controller,100,1800,129.88577586206895
controller,100,2000,118.44396551724138
controller,100,2200,106.98922413793103
controller,100,2400,100.99568965517241
controller,100,2600,98.64870689655173
controller,100,2800,89.8125
controller,100,3000,85.39008620689656
controller,100,3200,80.63793103448276
controller,100,3400,77.95689655172414
controller,100,3600,70.63793103448276
controller,100,3800,68.52586206896552
controller,100,4000,66.35775862068965
controller,100,4200,65.12068965517241
controller,100,4400,60.622844827586206
controller,100,4600,60.435344827586206
controller,100,4800,59.14655172413793
controller,100,5000,57.946120689655174
controller,100,5200,56.48275862068966
controller,100,5400,57.27801724137931
controller,100,5600,56.922413793103445
controller,100,5800,55.349137931034484
controller,100,6000,56.734913793103445
