CPULimit,GPULimit,AvgLatency,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
0,20,95ms,809,809,3.553230848e+12,3574620160000,8,1
0,25,71ms,679.75,721,3.563853824e+12,3573645312000,1.5,1
0,30,58ms,799.5,849,3.570106368e+12,3572953088000,2,1
0,35,46ms,836,887,3.563104256e+12,3566587904000,1.5,1
0,40,40ms,1020.5,1037,3.568185344e+12,3574562816000,2,1
0,45,37ms,1038,1038,3.5664896e+12,3566489600000,3,1
0,50,37ms,1034.5,1042,3.569154048e+12,3574083584000,2,1
0,55,37ms,1037,1037,3.570294784e+12,3570294784000,3,1
0,60,37ms,1044,1044,3.570065408e+12,3570065408000,4,1
0,65,37ms,1039.5,1040,3.572840448e+12,3579932672000,2,1
0,70,37ms,1045,1045,3.570163712e+12,3570163712000,4,1
0,75,37ms,1038,1038,3.561598976e+12,3561598976000,3,1
0,80,37ms,1044,1054,3.569309696e+12,3576229888000,2,1
0,85,37ms,1041,1041,3.56837376e+12,3568373760000,3,1
0,90,37ms,1045,1045,3.558621184e+12,3558621184000,3,1
0,95,37ms,1042,1042,3.5639296e+12,3563929600000,4,1
0,100,38ms,1049,1050,3.568633856e+12,3573874688000,2,1
