CPULimit,GPULimit,AvgLatency,AvgCPUUsage,MaxCPUUsage,AvgMemoryUsage,MaxMemoryUsage,HighLoadRatio,TaskNumber
0,,263ms,NaN,0,NaN,0,NaN,3
0,,214ms,NaN,0,NaN,0,NaN,3
0,,190ms,NaN,0,NaN,0,NaN,3
0,,168ms,NaN,0,NaN,0,NaN,3
0,,145ms,NaN,0,NaN,0,NaN,3
0,,124ms,NaN,0,NaN,0,NaN,3
0,,116ms,NaN,0,NaN,0,NaN,3
0,,109ms,NaN,0,NaN,0,NaN,3
0,,101ms,NaN,0,NaN,0,NaN,3
0,,90ms,NaN,0,NaN,0,NaN,3
0,,88ms,NaN,0,NaN,0,NaN,3
0,,82ms,NaN,0,NaN,0,NaN,3
0,,77ms,NaN,0,NaN,0,NaN,3
0,,71ms,NaN,0,NaN,0,NaN,3
0,,69ms,NaN,0,NaN,0,NaN,3
0,,67ms,NaN,0,NaN,0,NaN,3
0,,64ms,NaN,0,NaN,0,NaN,3
0,,62ms,NaN,0,NaN,0,NaN,3
0,,58ms,NaN,0,NaN,0,NaN,3
0,,57ms,NaN,0,NaN,0,NaN,3
0,,55ms,NaN,0,NaN,0,NaN,3
