CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
787,540192768000,0,0,2023-03-29 07:01:40 +0000 UTC,10017,true,slam-20011-k8s-as1
985,548933632000,0,0,2023-03-29 07:01:44 +0000 UTC,4273,true,slam-20011-k8s-as1
995,573104128000,0,0,2023-03-29 07:02:03 +0000 UTC,18428,true,slam-20011-k8s-as1
995,592883712000,0,0,2023-03-29 07:02:23 +0000 UTC,10008,true,slam-20011-k8s-as1
998,599965696000,0,0,2023-03-29 07:02:34 +0000 UTC,10998,true,slam-20011-k8s-as1
994,616140800000,0,0,2023-03-29 07:03:24 +0000 UTC,19929,true,slam-20011-k8s-as1
0,0,0,0,Pod Not Found,0,false,
999,583110656000,0,0,2023-03-29 07:02:13 +0000 UTC,10297,true,slam-20011-k8s-as1
994,605884416000,0,0,2023-03-29 07:02:54 +0000 UTC,19812,true,slam-20011-k8s-as1
999,609001472000,0,0,2023-03-29 07:03:04 +0000 UTC,10424,true,slam-20011-k8s-as1
995,628109312000,0,0,2023-03-29 07:03:41 +0000 UTC,17247,true,slam-20011-k8s-as1
0,0,0,0,Task has been ended,0,false,
