CPU,Memory,Storage,StorageEphemeral,CollectedTime,Window,Available,PodName
838,363282432000,0,0,2023-03-29 08:00:38 +0000 UTC,8101,true,slam-20196-controller
2089,624357376000,0,0,2023-03-29 08:01:04 +0000 UTC,13278,true,slam-20196-controller
2091,645292032000,0,0,2023-03-29 08:01:28 +0000 UTC,13586,true,slam-20196-controller
2055,653090816000,0,0,2023-03-29 08:01:42 +0000 UTC,14078,true,slam-20196-controller
2076,661323776000,0,0,2023-03-29 08:01:56 +0000 UTC,13916,true,slam-20196-controller
2074,678674432000,0,0,2023-03-29 08:02:43 +0000 UTC,18131,true,slam-20196-controller
2071,684109824000,0,0,2023-03-29 08:02:57 +0000 UTC,14516,true,slam-20196-controller
0,0,0,0,Task has been ended,0,false,
0,0,0,0,Pod Not Found,0,false,
1879,610062336000,0,0,2023-03-29 08:00:51 +0000 UTC,12710,true,slam-20196-controller
2076,633065472000,0,0,2023-03-29 08:01:14 +0000 UTC,10177,true,slam-20196-controller
2070,666140672000,0,0,2023-03-29 08:02:12 +0000 UTC,15942,true,slam-20196-controller
2082,669982720000,0,0,2023-03-29 08:02:25 +0000 UTC,13028,true,slam-20196-controller
